,Name,Total Gain/Loss,Number of Positive Trades,Number of Negative Trades,Win Percent
141,HPPL,-1126.0,2,10,16.666666666666664
142,HRL,245.0,1,0,100.0
143,HURJA,714.0,4,4,50.0
144,ICFCD83,-2976.0,1,6,14.285714285714285
145,ICFC,-2200.0,12,28,30.0
146,IGI,-545.0,1,3,25.0
147,IHL,-666.0,1,1,50.0
148,ILBS,-5580.0,1,3,25.0
149,ILI,0.0,0,0,0.0
150,JBBD87,-50.0,0,1,0.0
151,JBBL,-595.0,8,14,36.36363636363637
152,JBLB,-1844.0,2,1,66.66666666666666
153,JFL,-5624.0,7,22,24.137931034482758
154,JOSHI,-1000.0,2,5,28.57142857142857
155,JSLBB,-3177.0,8,9,47.05882352941176
156,KBLD86,7580.0,1,0,100.0
157,KBLD89,-670.0,0,1,0.0
158,KBL,2842.0,10,8,55.55555555555556
159,KBSH,-2780.0,1,2,33.33333333333333
160,KDBY,-0.09999999999999432,1,1,50.0
161,KEF,0.5000000000000142,2,2,50.0
162,KMCDB,-11880.0,7,13,35.0
163,KPCL,-2403.0,2,12,14.285714285714285
164,KRBL,-1115.0,11,23,32.35294117647059
165,KSBBL,-1795.0,5,7,41.66666666666667
166,KSY,0.0,0,0,0.0
167,LBBLD89,0.0,0,0,0.0
168,LBBL,-2368.0,5,10,33.33333333333333
169,LBLD88,9497.0,1,0,100.0
170,LEC,-680.0,1,4,20.0
171,LICN,-5212.0,12,16,42.857142857142854
172,LLBS,-10201.0,6,11,35.294117647058826
173,LSL,-150.0,0,1,0.0
174,LUK,-21.30000000000004,3,9,25.0
175,LVF2,0.0,0,0,0.0
176,MAKAR,389.0,2,0,100.0
177,MANDU,-577.0,1,1,50.0
178,MBJC,176.0,1,2,33.33333333333333
179,MBL,3572.0,9,18,33.33333333333333
180,MCHL,-1066.0,1,2,33.33333333333333
181,MDB,-10998.0,7,25,21.875
182,MEHL,-112.0,0,2,0.0
183,MEL,-341.0,0,2,0.0
184,MEN,1740.0,4,2,66.66666666666666
185,MERO,6042.0,8,4,66.66666666666666
186,MFIL,250.0,10,11,47.61904761904761
187,MFLD85,1836.0,3,0,100.0
188,MHCL,330.0,1,0,100.0
189,MHL,61.0,2,1,66.66666666666666
190,MHNL,-1183.0,3,5,37.5
191,MKCL,526.0,1,0,100.0
192,MKHC,-220.0,1,2,33.33333333333333
193,MKHL,-528.0,0,2,0.0
194,MKJC,196.0,1,0,100.0
195,MLBBL,11988.0,6,11,35.294117647058826
196,MLBLD89,0.0,0,0,0.0
197,MLBL,-1033.0,8,9,47.05882352941176
198,MLBSL,25170.0,2,5,28.57142857142857
199,MLBS,-554.0,0,2,0.0
200,MMF1,7.799999999999997,1,1,50.0
201,MMKJL,-166.0,0,2,0.0
202,MNBBL,-2346.0,5,22,18.51851851851852
203,MND84,0.0,0,0,0.0
204,MPFL,1910.0,6,10,37.5
205,MSHL,-50.0,0,1,0.0
206,MSLB,5760.0,3,5,37.5
207,NABBC,-1178.0,4,8,33.33333333333333
208,NABILD87,0.0,0,0,0.0
209,NABIL,-4312.0,9,13,40.909090909090914
210,NADEP,-1223.0,2,3,40.0
211,NBF2,-5.099999999999952,4,8,33.33333333333333
212,NBF3,-1.2000000000000313,3,2,60.0
213,NBLD85,435.0,1,3,25.0
214,NBLD87,-3283.0,0,4,0.0
215,NBL,834.0,9,11,45.0
216,NCCD86,-888.0,1,3,25.0
217,NESDO,7550.0,1,2,33.33333333333333
218,NFS,-7003.0,2,6,25.0
219,NGPL,958.0,7,11,38.88888888888889
220,NHDL,1207.0,7,6,53.84615384615385
221,NHPC,-503.0,10,10,50.0
222,NIBD2082,270.0,1,3,25.0
223,NIBD84,-2069.0,0,4,0.0
224,NIBLGF,0.10000000000000853,3,3,50.0
225,NIBLSTF,0.0,0,0,0.0
226,NIBSF2,15.899999999999977,3,2,60.0
227,NICAD8182,1740.0,1,0,100.0
228,NICAD8283,-1226.0000000000073,4,8,33.33333333333333
229,NICAD85,0.0,0,0,0.0
230,NICA,-2085.0,8,12,40.0
231,NICBF,-28.999999999999986,4,8,33.33333333333333
232,NICD88,0.0,0,0,0.0
233,NICFC,10.900000000000034,6,1,85.71428571428571
234,NICGF2,-10.599999999999994,1,2,33.33333333333333
235,NICGF,4.400000000000048,8,14,36.36363636363637
236,NICLBSL,299.0,2,2,50.0
237,NICL,-8030.0,10,12,45.45454545454545
238,NICSF,0.9000000000000199,1,2,33.33333333333333
239,NIFRAUR85,0.0,0,0,0.0
240,NIFRA,592.0,3,0,100.0
241,NIL,-16020.0,2,9,18.181818181818183
242,NIMBD90,-915.0,0,2,0.0
243,NIMBPO,-227.0,0,5,0.0
244,NIMB,-46.0,1,1,50.0
245,NLG,5754.0,9,9,50.0
246,NLICL,-31914.0,6,19,24.0
247,NLIC,-35985.0,12,12,50.0
248,NMB50,14.300000000000026,3,10,23.076923076923077
249,NMBD2085,0.0,0,0,0.0
250,NMBD87,-1425.0,0,1,0.0
251,NMBD89,0.0,0,0,0.0
252,NMBMF,28668.0,5,12,29.411764705882355
253,NMB,-2371.0,7,13,35.0
254,NMFBS,-12900.0,5,8,38.46153846153847
255,NMLBBL,0.0,0,0,0.0
256,NRIC,566.0,4,4,50.0
257,NRM,379.0,1,1,50.0
258,NRN,-489.0,0,2,0.0
259,NSIF2,-7.700000000000031,1,4,20.0
260,NTC,-2120.0,9,18,33.33333333333333
261,NUBL,-13975.0,7,17,29.166666666666668
262,NWCL,-509.0,0,2,0.0
263,NYADI,-160.0,0,1,0.0
264,OHL,-8008.0,3,24,11.11111111111111
265,PBD84,0.0,0,0,0.0
266,PBD85,-739.0,2,1,66.66666666666666
267,PBD88,-2130.0,1,8,11.11111111111111
268,PBLD84,2914.8999999999996,1,3,25.0
269,PBLD86,1260.0,1,0,100.0
270,PCBLP,-179.0,0,1,0.0
271,PCBL,-562.0,4,11,26.666666666666668
272,PFL,284.0,7,12,36.84210526315789
273,PHCL,485.0,1,0,100.0
274,PMHPL,740.0,4,1,80.0
275,PMLI,-15.0,0,1,0.0
276,PPCL,775.0,6,4,60.0
277,PPL,19.0,1,0,100.0
278,PRIN,-8853.0,7,10,41.17647058823529
279,PROFLP,0.0,0,0,0.0
280,PROFL,-746.0,8,10,44.44444444444444
281,PRSF,-7.399999999999977,1,3,25.0
282,PRVU,2541.0,7,6,53.84615384615385
283,PSF,-2.8000000000000114,1,2,33.33333333333333
284,RADHI,-1630.0,2,8,20.0
285,RAWA,-18.0,0,1,0.0
286,RBCLPO,-219740.0,6,24,20.0
287,RBCL,-108779.0,9,19,32.142857142857146
288,RFPL,-329.0,0,2,0.0
289,RHGCL,-175.0,0,4,0.0
290,RHPL,971.0,5,5,50.0
291,RIDI,0.0,0,0,0.0
292,RLFL,-2381.0,9,17,34.61538461538461
293,RMF1,-9.700000000000003,0,5,0.0
294,RMF2,-4.5,0,3,0.0
295,RNLI,381.0,2,0,100.0
296,RSDC,-2265.0,6,7,46.15384615384615
297,RURU,-732.0,1,4,20.0
298,SADBL,1635.0,7,13,35.0
299,SAEF,-66.20000000000002,6,22,21.428571428571427
300,SAGF,0.0,3,3,50.0
301,SAHAS,1921.0,4,1,80.0
302,SALICO,291.0,1,1,50.0
303,SAMAJ,-1200.0,0,1,0.0
304,SANIMA,-1277.0,6,14,30.0
305,SAPDBL,-1051.0,3,5,37.5
306,SARBTM,-72.0,0,1,0.0
307,SBCF,6.600000000000023,2,3,40.0
308,SBD87,330.0,1,3,25.0
309,SBID83,-1258.0,0,4,0.0
310,SBID89,-179.0,0,1,0.0
311,SBI,1924.0,10,11,47.61904761904761
312,SBLD84,8704.0,1,1,50.0
313,SBLD89,0.0,0,0,0.0
314,SBL,757.0,9,9,50.0
315,SCBD,0.0,0,0,0.0
316,SCB,-15017.0,6,20,23.076923076923077
317,SDBD87,-332.0,1,2,33.33333333333333
318,SEF,41.40000000000008,5,16,23.809523809523807
319,SFCL,-1066.0,4,10,28.57142857142857
320,SFEF,-2.099999999999966,0,2,0.0
321,SFMF,1.799999999999912,2,12,14.285714285714285
322,SGHC,1263.0,1,1,50.0
323,SGIC,-648.0,1,2,33.33333333333333
324,SHEL,1540.0,4,2,66.66666666666666
325,SHINE,6843.0,11,13,45.83333333333333
326,SHIVM,-2889.0,2,4,33.33333333333333
327,SHLB,841.0,1,0,100.0
328,SHL,-2344.0,9,22,29.03225806451613
329,SHPC,28.0,1,0,100.0
